ActivoA,ActivoB,Algoritmo,Complejidad,Valor
NVDA,NFLX,Similitud por Coseno,O(n),0,417526
NVDA,INTC,Distancia Euclidiana,O(n),1,284875
NVDA,INTC,Correlacion de Pearson,O(n),0,364380
NVDA,INTC,Dynamic Time Warping (DTW),O(n*m),23,616736
NVDA,INTC,Similitud por Coseno,O(n),0,365372
NVDA,CSCO,Distancia Euclidiana,O(n),1,082318
NVDA,CSCO,Correlacion de Pearson,O(n),0,360427
NVDA,CSCO,Dynamic Time Warping (DTW),O(n*m),21,374612
NVDA,CSCO,Similitud por Coseno,O(n),0,362145
META,TSLA,Distancia Euclidiana,O(n),1,340159
META,TSLA,Correlacion de Pearson,O(n),0,346381
META,TSLA,Dynamic Time Warping (DTW),O(n*m),24,766861
META,TSLA,Similitud por Coseno,O(n),0,347040
META,JPM,Distancia Euclidiana,O(n),0,964578
META,JPM,Correlacion de Pearson,O(n),0,306234
META,JPM,Dynamic Time Warping (DTW),O(n*m),16,163084
META,JPM,Similitud por Coseno,O(n),0,307192
META,JNJ,Distancia Euclidiana,O(n),1,048727
META,JNJ,Correlacion de Pearson,O(n),0,001256
META,JNJ,Dynamic Time Warping (DTW),O(n*m),16,709005
META,JNJ,Similitud por Coseno,O(n),0,002163
META,V,Distancia Euclidiana,O(n),0,926010
META,V,Correlacion de Pearson,O(n),0,362970
META,V,Dynamic Time Warping (DTW),O(n*m),15,943796
META,V,Similitud por Coseno,O(n),0,363529
META,PG,Distancia Euclidiana,O(n),1,021190
META,PG,Correlacion de Pearson,O(n),0,095607
META,PG,Dynamic Time Warping (DTW),O(n*m),16,292610
META,PG,Similitud por Coseno,O(n),0,095904
META,UNH,Distancia Euclidiana,O(n),1,189551
META,UNH,Correlacion de Pearson,O(n),0,033939
META,UNH,Dynamic Time Warping (DTW),O(n*m),17,329812
META,UNH,Similitud por Coseno,O(n),0,034121
META,HD,Distancia Euclidiana,O(n),0,948270
META,HD,Correlacion de Pearson,O(n),0,333211
META,HD,Dynamic Time Warping (DTW),O(n*m),15,930863
META,HD,Similitud por Coseno,O(n),0,333171
META,MA,Distancia Euclidiana,O(n),0,900778
META,MA,Correlacion de Pearson,O(n),0,415362
META,MA,Dynamic Time Warping (DTW),O(n*m),15,860577
META,MA,Similitud por Coseno,O(n),0,415811
META,DIS,Distancia Euclidiana,O(n),0,950542
META,DIS,Correlacion de Pearson,O(n),0,377368
META,DIS,Dynamic Time Warping (DTW),O(n*m),15,518231
META,DIS,Similitud por Coseno,O(n),0,376578
META,PYPL,Distancia Euclidiana,O(n),0,996295
META,PYPL,Correlacion de Pearson,O(n),0,462922
META,PYPL,Dynamic Time Warping (DTW),O(n*m),16,403605
META,PYPL,Similitud por Coseno,O(n),0,461262
META,ADBE,Distancia Euclidiana,O(n),0,956441
META,ADBE,Correlacion de Pearson,O(n),0,438929
META,ADBE,Dynamic Time Warping (DTW),O(n*m),16,599949
META,ADBE,Similitud por Coseno,O(n),0,438283
META,NFLX,Distancia Euclidiana,O(n),1,031947
META,NFLX,Correlacion de Pearson,O(n),0,434644
META,NFLX,Dynamic Time Warping (DTW),O(n*m),16,681640
META,NFLX,Similitud por Coseno,O(n),0,435241
META,INTC,Distancia Euclidiana,O(n),1,244993
META,INTC,Correlacion de Pearson,O(n),0,306447
META,INTC,Dynamic Time Warping (DTW),O(n*m),21,243010
META,INTC,Similitud por Coseno,O(n),0,307106
META,CSCO,Distancia Euclidiana,O(n),0,960119
META,CSCO,Correlacion de Pearson,O(n),0,306168
META,CSCO,Dynamic Time Warping (DTW),O(n*m),16,039838
META,CSCO,Similitud por Coseno,O(n),0,307064
TSLA,JPM,Distancia Euclidiana,O(n),1,247325
